datetime,Global_active_power
2007/1/14,3007.816
2007/1/15,2148.678
2007/1/16,1686.404
2007/1/17,2847.688
2007/1/18,1821.462
2007/1/19,1480.44
2007/1/20,3133.732
2007/1/21,3407.262
2007/1/22,2180.494
2007/1/23,1777.64
2007/1/24,2987.854
2007/1/25,1596.344
2007/1/26,1617.972
2007/1/27,2044.072
2007/1/28,3090.204
2007/1/29,1982.664
2007/1/30,1707.798
2007/1/31,2363.752
2007/2/1,1824.76
2007/2/2,1667.736
2007/2/3,4029.722
2007/2/4,3595.94
2007/2/5,1645.28
2007/2/6,1273.48
2007/2/7,2328.018
2007/2/8,1801.414
2007/2/9,1620.198
2007/2/10,2829.328
2007/2/11,3571.228
2007/2/12,1877.61
2007/2/13,1414.546
2007/2/14,2498.672
2007/2/15,1985.346
2007/2/16,1702.528
2007/2/17,2076.912
2007/2/18,3829.762
2007/2/19,2186.614
2007/2/20,3149.928
2007/2/21,2072.874
2007/2/22,3369.478
2007/2/23,1313.48
2007/2/24,714.922
2007/2/25,501.74
2007/2/26,568.484
2007/2/27,518.112
2007/2/28,520.774
2007/3/1,517.564
2007/3/2,515.688
2007/3/3,819.122
2007/3/4,2090.7
2007/3/5,2660.332
2007/3/6,1246.5
2007/3/7,2375.206
2007/3/8,1572.132
2007/3/9,1272.612
2007/3/10,2484.712
2007/3/11,3480.636
2007/3/12,1950.668
2007/3/13,1290.144
2007/3/14,1793.364
2007/3/15,1884.814
2007/3/16,1702.054
2007/3/17,2028.09
2007/3/18,2371.046
2007/3/19,2152.518
2007/3/20,2086.228
2007/3/21,2142.092
2007/3/22,1454.978
2007/3/23,1309.008
2007/3/24,2968.43
2007/3/25,3336.124
2007/3/26,1416.082
2007/3/27,1105.14
2007/3/28,2333.898
2007/3/29,1590.406
2007/3/30,1402.394
2007/3/31,3509.51
2007/4/1,2785.952
2007/4/2,1960.778
2007/4/3,1642.82
2007/4/4,2051.868
2007/4/5,1844.078
2007/4/6,1601.14
2007/4/7,1553.924
2007/4/8,1608.816
2007/4/9,1000.92
2007/4/10,777.364
2007/4/11,887.482
2007/4/12,537.706
2007/4/13,551.022
2007/4/14,554.268
2007/4/15,726.164
2007/4/16,952.39
2007/4/17,1223.734
2007/4/18,998.246
2007/4/19,1028.658
2007/4/20,822.58
2007/4/21,1673.656
2007/4/22,2233.714
2007/4/23,1054.566
2007/4/24,1032.1
2007/4/25,1264.162
2007/4/26,1275.466
2007/4/27,1094.332
2007/4/28,22.738
2007/4/29,0
2007/4/30,420.822
2007/5/1,1663.858
2007/5/2,1003.486
2007/5/3,1090.238
2007/5/4,998.128
2007/5/5,1563.052
2007/5/6,2102.104
2007/5/7,1643.664
2007/5/8,1789.292
2007/5/9,1665.736
2007/5/10,707.884
2007/5/11,979.154
2007/5/12,1441.566
2007/5/13,1634.738
2007/5/14,1467.782
2007/5/15,904.392
2007/5/16,1692.944
2007/5/17,1231.816
2007/5/18,1631.53
2007/5/19,1429.442
2007/5/20,1968.328
2007/5/21,1120.062
2007/5/22,1132.852
2007/5/23,1464.936
2007/5/24,1154.388
2007/5/25,1614.22
2007/5/26,1512.248
2007/5/27,2153.808
2007/5/28,1637.468
2007/5/29,1061.34
2007/5/30,1609.866
2007/5/31,938.55
2007/6/1,1044.918
2007/6/2,1484.362
2007/6/3,2108.026
2007/6/4,911.618
2007/6/5,1458.892
2007/6/6,1693.638
2007/6/7,985.002
2007/6/8,2148.046
2007/6/9,1059.814
2007/6/10,1340.812
2007/6/11,794.654
2007/6/12,918.766
2007/6/13,927.272
2007/6/14,1259.084
2007/6/15,989.604
2007/6/16,2017.762
2007/6/17,1947.09
2007/6/18,678.474
2007/6/19,842.36
2007/6/20,1074.286
2007/6/21,806.946
2007/6/22,566.294
2007/6/23,477.566
2007/6/24,714.656
2007/6/25,1072.202
2007/6/26,944.908
2007/6/27,1480.826
2007/6/28,1295.438
2007/6/29,1304.198
2007/6/30,1335.314
2007/7/1,1026.664
2007/7/2,967.032
2007/7/3,1059.912
2007/7/4,1003.41
2007/7/5,1057.29
2007/7/6,1069.524
2007/7/7,1358.206
2007/7/8,1089.08
2007/7/9,1180.158
2007/7/10,908.324
2007/7/11,722.352
2007/7/12,1069.582
2007/7/13,794.382
2007/7/14,1288.17
2007/7/15,917.024
2007/7/16,853.674
2007/7/17,719.632
2007/7/18,757.082
2007/7/19,677.886
2007/7/20,1110.422
2007/7/21,1060.248
2007/7/22,1375.774
2007/7/23,991.018
2007/7/24,825.284
2007/7/25,472.56
2007/7/26,924.5
2007/7/27,1202.514
2007/7/28,1621.862
2007/7/29,321.116
2007/7/30,466.816
2007/7/31,812.332
2007/8/1,1060.338
2007/8/2,1019.416
2007/8/3,1063.364
2007/8/4,1144.99
2007/8/5,787.098
2007/8/6,1089.72
2007/8/7,1483.58
2007/8/8,1125.482
2007/8/9,1071.68
2007/8/10,1028.01
2007/8/11,1091.65
2007/8/12,1241.904
2007/8/13,1153.012
2007/8/14,941.19
2007/8/15,1191.86
2007/8/16,958.496
2007/8/17,1009.892
2007/8/18,347.96
2007/8/19,1422.294
2007/8/20,1338.842
2007/8/21,642.556
2007/8/22,1209.808
2007/8/23,1112.312
2007/8/24,1656.214
2007/8/25,1150.88
2007/8/26,1314.906
2007/8/27,1211.73
2007/8/28,997.004
2007/8/29,747.992
2007/8/30,1202.458
2007/8/31,1279.822
2007/9/1,1701.486
2007/9/2,1662.468
2007/9/3,1038.922
2007/9/4,1584.944
2007/9/5,1236.572
2007/9/6,901.474
2007/9/7,1336.496
2007/9/8,1469.752
2007/9/9,1679.502
2007/9/10,1117.376
2007/9/11,983.572
2007/9/12,1287.764
2007/9/13,1146.382
2007/9/14,1135.47
2007/9/15,1095.312
2007/9/16,1652.224
2007/9/17,1461.186
2007/9/18,1167.52
2007/9/19,1298.684
2007/9/20,1255.532
2007/9/21,1238.78
2007/9/22,1176.172
2007/9/23,1417.97
2007/9/24,1354.53
2007/9/25,1764.342
2007/9/26,1822.264
2007/9/27,1392.6
2007/9/28,1680.498
2007/9/29,2296.522
2007/9/30,1516.29
2007/10/1,1720.922
2007/10/2,2198.864
2007/10/3,1280.454
2007/10/4,1518.458
2007/10/5,1394.092
2007/10/6,1756.24
2007/10/7,2106.114
2007/10/8,1095.242
2007/10/9,1687.858
2007/10/10,1166.972
2007/10/11,1732.446
2007/10/12,1914.504
2007/10/13,1926.728
2007/10/14,2061.252
2007/10/15,1266.33
2007/10/16,1964.442
2007/10/17,1576.93
2007/10/18,1518.53
2007/10/19,2085.648
2007/10/20,1660.246
2007/10/21,1941.94
2007/10/22,1652.896
2007/10/23,1954.648
2007/10/24,1865.636
2007/10/25,1853.918
2007/10/26,1437.568
2007/10/27,1785.688
2007/10/28,512.158
2007/10/29,545.428
2007/10/30,811.008
2007/10/31,1283.21
2007/11/1,496.216
2007/11/2,1443.602
2007/11/3,492.55
2007/11/4,1485.686
2007/11/5,1500.592
2007/11/6,2082.378
2007/11/7,1844.758
2007/11/8,1501.06
2007/11/9,2171.226
2007/11/10,2611.6
2007/11/11,1887.124
2007/11/12,2156.146
2007/11/13,2214.398
2007/11/14,2047.994
2007/11/15,1491.988
2007/11/16,2309.754
2007/11/17,2610.094
2007/11/18,2183.858
2007/11/19,1723.654
2007/11/20,2095.856
2007/11/21,1751.836
2007/11/22,1932.378
2007/11/23,2522.618
2007/11/24,1899.054
2007/11/25,1395.598
2007/11/26,1569.716
2007/11/27,2801.012
2007/11/28,1644.94
2007/11/29,1719.23
2007/11/30,2331.728
2007/12/1,3134.942
2007/12/2,2946.188
2007/12/3,1762.06
2007/12/4,2067.636
2007/12/5,2153.12
2007/12/6,2487.934
2007/12/7,1769.016
2007/12/8,2213.404
2007/12/9,2274.584
2007/12/10,1758.754
2007/12/11,2305.104
2007/12/12,1588.062
2007/12/13,1847.746
2007/12/14,1974.808
2007/12/15,2736.876
2007/12/16,2762.218
2007/12/17,1797.066
2007/12/18,2623.194
2007/12/19,2196.052
2007/12/20,1949.758
2007/12/21,1982.576
2007/12/22,2611.264
2007/12/23,2409.048
2007/12/24,2257.848
2007/12/25,2694.968
2007/12/26,2580.28
2007/12/27,2532.198
2007/12/28,3113.052
2007/12/29,3298.956
2007/12/30,2558.916
2007/12/31,2216.542
2008/1/1,2759.738
2008/1/2,1644.106
2008/1/3,1510.108
2008/1/4,2291.852
2008/1/5,2183.248
2008/1/6,1825.184
2008/1/7,1695.814
2008/1/8,2043.55
2008/1/9,1788.44
2008/1/10,1894.076
2008/1/11,1705.818
2008/1/12,2871.408
2008/1/13,2881.656
2008/1/14,2024.932
2008/1/15,2686.912
2008/1/16,2135.852
2008/1/17,1572.282
2008/1/18,2186.988
2008/1/19,1980.306
2008/1/20,1740.368
2008/1/21,1858.998
2008/1/22,2325.018
2008/1/23,1882.308
2008/1/24,1645.022
2008/1/25,2239.856
2008/1/26,2834.988
2008/1/27,2381.766
2008/1/28,2308.196
2008/1/29,2676.024
2008/1/30,1640.646
2008/1/31,1953.922
2008/2/1,1534.652
2008/2/2,2936.034
2008/2/3,2084.568
2008/2/4,1628.138
2008/2/5,2472.456
2008/2/6,1669.54
2008/2/7,1518.31
2008/2/8,1950.564
2008/2/9,2102.276
2008/2/10,2184.714
2008/2/11,1692.016
2008/2/12,1987.798
2008/2/13,1900.498
2008/2/14,1604.622
2008/2/15,2005.208
2008/2/16,2346.948
2008/2/17,1933.368
2008/2/18,1514.404
2008/2/19,2126.916
2008/2/20,2253.79
2008/2/21,1633.85
2008/2/22,1732.564
2008/2/23,1833.97
2008/2/24,1263.008
2008/2/25,504.488
2008/2/26,507.12
2008/2/27,566.72
2008/2/28,509.184
2008/2/29,1333.348
2008/3/1,1141.876
2008/3/2,1162.226
2008/3/3,1040.55
2008/3/4,1668.99
2008/3/5,2037.208
2008/3/6,2503.208
2008/3/7,1862.956
2008/3/8,2248.66
2008/3/9,1560.458
2008/3/10,1618.686
2008/3/11,2200.042
2008/3/12,1774.232
2008/3/13,1675.514
2008/3/14,2210.22
2008/3/15,1576.3
2008/3/16,1801.96
2008/3/17,1706.918
2008/3/18,1917.566
2008/3/19,1308.448
2008/3/20,1253.274
2008/3/21,2066.442
2008/3/22,2053.516
2008/3/23,2325.99
2008/3/24,1974.668
2008/3/25,2015.856
2008/3/26,1633.472
2008/3/27,1370.822
2008/3/28,1885.424
2008/3/29,2471.15
2008/3/30,2146.392
2008/3/31,1377.57
2008/4/1,2129.052
2008/4/2,1691.672
2008/4/3,1128.756
2008/4/4,1631.918
2008/4/5,1970.762
2008/4/6,1696.318
2008/4/7,1538.838
2008/4/8,2657.516
2008/4/9,1218.852
2008/4/10,1477.746
2008/4/11,1877.664
2008/4/12,2800.014
2008/4/13,2232.986
2008/4/14,1589.582
2008/4/15,1670.406
2008/4/16,1489.064
2008/4/17,1395.862
2008/4/18,1862.39
2008/4/19,2253.71
2008/4/20,1791.418
2008/4/21,1164.156
2008/4/22,1627.676
2008/4/23,1357.328
2008/4/24,1043.772
2008/4/25,1267.734
2008/4/26,903.166
2008/4/27,1008.24
2008/4/28,659.052
2008/4/29,1972.616
2008/4/30,1101.726
2008/5/1,576.014
2008/5/2,1497.768
2008/5/3,1289.6
2008/5/4,1470.97
2008/5/5,1366.932
2008/5/6,1789.98
2008/5/7,1176.264
2008/5/8,2116.698
2008/5/9,1747.272
2008/5/10,1909.128
2008/5/11,1610.92
2008/5/12,1524.204
2008/5/13,1476.894
2008/5/14,1584.262
2008/5/15,1162.768
2008/5/16,1648.03
2008/5/17,1657.454
2008/5/18,1803.958
2008/5/19,1030.262
2008/5/20,1581.334
2008/5/21,1324.112
2008/5/22,976.868
2008/5/23,1484.916
2008/5/24,1580.176
2008/5/25,2048.504
2008/5/26,1289.71
2008/5/27,1708.7
2008/5/28,1114.372
2008/5/29,1135.076
2008/5/30,1397.244
2008/5/31,1641.47
2008/6/1,1848.876
2008/6/2,1074.012
2008/6/3,1597.816
2008/6/4,1588.912
2008/6/5,1120.078
2008/6/6,1217.714
2008/6/7,1882.484
2008/6/8,1542.322
2008/6/9,1325.698
2008/6/10,1067.09
2008/6/11,1123.206
2008/6/12,1259.332
2008/6/13,1874.28
2008/6/14,1384.92
2008/6/15,2289.102
2008/6/16,1303.044
2008/6/17,1145.084
2008/6/18,1893.608
2008/6/19,1588.082
2008/6/20,1676.104
2008/6/21,1734.254
2008/6/22,1566.416
2008/6/23,1251.796
2008/6/24,1754.452
2008/6/25,1261.77
2008/6/26,1056.02
2008/6/27,1755.152
2008/6/28,1208.8
2008/6/29,749.352
2008/6/30,804.196
2008/7/1,1215.24
2008/7/2,1147.202
2008/7/3,1098.36
2008/7/4,942.02
2008/7/5,1469.088
2008/7/6,1805.064
2008/7/7,983.39
2008/7/8,1126.214
2008/7/9,919.318
2008/7/10,1251.276
2008/7/11,1254.216
2008/7/12,1328.852
2008/7/13,1253.754
2008/7/14,1137.926
2008/7/15,1155.86
2008/7/16,1077.062
2008/7/17,1319.122
2008/7/18,1261.584
2008/7/19,1344.014
2008/7/20,941.534
2008/7/21,1156.478
2008/7/22,740.242
2008/7/23,942.63
2008/7/24,1093.45
2008/7/25,865.534
2008/7/26,815.684
2008/7/27,1147.396
2008/7/28,825.804
2008/7/29,1166.558
2008/7/30,1299.908
2008/7/31,1392.638
2008/8/1,739.576
2008/8/2,505.776
2008/8/3,504.782
2008/8/4,1125.92
2008/8/5,827.118
2008/8/6,326.112
2008/8/7,334.884
2008/8/8,302.2
2008/8/9,358.924
2008/8/10,352.032
2008/8/11,371.916
2008/8/12,288.984
2008/8/13,282.584
2008/8/14,270.258
2008/8/15,273.654
2008/8/16,274.814
2008/8/17,274.796
2008/8/18,273.758
2008/8/19,274.692
2008/8/20,268.472
2008/8/21,261.298
2008/8/22,267.124
2008/8/23,254.642
2008/8/24,254.716
2008/8/25,250.298
2008/8/26,257.564
2008/8/27,258.114
2008/8/28,268.246
2008/8/29,267.588
2008/8/30,270.424
2008/8/31,1500.614
2008/9/1,1247.51
2008/9/2,1384.154
2008/9/3,1388.486
2008/9/4,1225.22
2008/9/5,873.96
2008/9/6,1868.574
2008/9/7,1372.656
2008/9/8,1309.324
2008/9/9,1159.654
2008/9/10,1300.764
2008/9/11,1028.714
2008/9/12,1392.762
2008/9/13,1631.436
2008/9/14,1576.326
2008/9/15,1697.708
2008/9/16,1221.862
2008/9/17,1519.21
2008/9/18,1505.29
2008/9/19,1518.846
2008/9/20,1304.6
2008/9/21,1533.07
2008/9/22,1358.564
2008/9/23,1232.788
2008/9/24,1718.35
2008/9/25,1131.22
2008/9/26,1431.45
2008/9/27,2127.446
2008/9/28,1731.104
2008/9/29,1501.738
2008/9/30,1375.006
2008/10/1,1872.364
2008/10/2,1345.342
2008/10/3,1612.58
2008/10/4,2100.496
2008/10/5,1549.95
2008/10/6,1423.782
2008/10/7,1726.568
2008/10/8,1860.576
2008/10/9,1983.682
2008/10/10,1518.338
2008/10/11,1669.386
2008/10/12,1907.94
2008/10/13,1461.976
2008/10/14,1609.056
2008/10/15,2156.896
2008/10/16,1583.68
2008/10/17,1866.886
2008/10/18,2239.19
2008/10/19,1971.934
2008/10/20,1667.554
2008/10/21,2063.716
2008/10/22,1646.01
2008/10/23,1830.494
2008/10/24,2133.226
2008/10/25,1523.156
2008/10/26,523.492
